127.0.0.1 - - [19/Oct/2020:21:27:10 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:27:12 +0900] "GET /JSP_Study/sign_in.jsp HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:27:13 +0900] "GET /JSP_Study/Resources/js/bootstrap.js HTTP/1.1" 200 131637
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:27:13 +0900] "GET /JSP_Study/Resources/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:27:19 +0900] "GET /JSP_Study/sign_in.jsp HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:27:19 +0900] "GET /JSP_Study/Resources/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:27:19 +0900] "GET /JSP_Study/Resources/js/bootstrap.js HTTP/1.1" 200 131637
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:27:19 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:28:36 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:28:40 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:28:48 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:29:32 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:29:32 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0 HTTP/1.1" 200 5818
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:30:25 +0900] "GET /JSP_Study/Control.jsp?action=read&id=68&index=0&searchTag=&searchText= HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:30:32 +0900] "GET /JSP_Study/Control.jsp?action=read&id=68&index=0&searchTag=&searchText= HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:31:13 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=1&searchTag=&searchText= HTTP/1.1" 200 5864
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:31:15 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=2&searchTag=&searchText= HTTP/1.1" 200 5864
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:31:15 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=3&searchTag=&searchText= HTTP/1.1" 200 5795
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:31:17 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=5&searchTag=&searchText= HTTP/1.1" 200 5740
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:31:17 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=7&searchTag=&searchText= HTTP/1.1" 200 3400
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:31:20 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=5&searchTag=&searchText= HTTP/1.1" 200 5740
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:31:22 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=3&searchTag=&searchText= HTTP/1.1" 200 5795
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:31:23 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=1&searchTag=&searchText= HTTP/1.1" 200 5864
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:31:23 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=&searchText= HTTP/1.1" 200 5818
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:31:25 +0900] "GET /JSP_Study/Control.jsp?action=read&id=68&index=0&searchTag=&searchText= HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:31:27 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 200 5818
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:29:29 +0900] "GET /JSP_Study/Control.jsp?action=read&id=68&index=0&searchTag=&searchText= HTTP/1.1" 500 5283
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:29:42 +0900] "GET /JSP_Study/sign_in.jsp HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:29:49 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:29:54 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:29:54 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0 HTTP/1.1" 200 5818
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:29:56 +0900] "GET /JSP_Study/Control.jsp?action=read&id=68&index=0&searchTag=&searchText= HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:29:59 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 200 5819
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:30:27 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:30:27 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0 HTTP/1.1" 200 5819
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:30:30 +0900] "GET /JSP_Study/Control.jsp?action=read&id=68&index=0&searchTag=&searchText= HTTP/1.1" 200 3445
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:30:33 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:30:33 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=&searchText= HTTP/1.1" 200 5813
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:30:55 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0 HTTP/1.1" 200 5813
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:31:02 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:31:02 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0 HTTP/1.1" 200 5813
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:32:35 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=2&searchTag=&searchText= HTTP/1.1" 200 5845
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:32:37 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=4&searchTag=&searchText= HTTP/1.1" 200 5750
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:32:41 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=6&searchTag=&searchText= HTTP/1.1" 200 5492
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:32:49 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=5&searchTag=&searchText= HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:32:52 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=4&searchTag=&searchText= HTTP/1.1" 200 5750
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:32:55 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=3&searchTag=&searchText= HTTP/1.1" 200 5781
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:32:57 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=3&searchTag=&searchText= HTTP/1.1" 200 5781
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:32:58 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=4&searchTag=&searchText= HTTP/1.1" 200 5750
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:35:19 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=2&searchTag=&searchText= HTTP/1.1" 200 5845
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:35:20 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=&searchText= HTTP/1.1" 200 5813
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:35:22 +0900] "GET /JSP_Study/createPost.jsp HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:37:14 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:37:14 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0 HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:37:18 +0900] "GET /JSP_Study/Control.jsp?action=read&id=69&index=0&searchTag=&searchText= HTTP/1.1" 200 3363
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:37:50 +0900] "POST /JSP_Study/updatePost.jsp HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:38:36 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:38:36 +0900] "GET /JSP_Study/Control.jsp?action=read&id=69&index=0&searchTag=&searchText= HTTP/1.1" 200 3445
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:39:00 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:39:12 +0900] "GET /JSP_Study/Control.jsp?action=read&id=69&index=0&searchTag=&searchText= HTTP/1.1" 200 3445
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:39:15 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 200 5837
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:39:41 +0900] "GET /JSP_Study/Control.jsp?action=read&id=69&index=0&searchTag=&searchText= HTTP/1.1" 200 3445
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:40:22 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:40:22 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=&searchText= HTTP/1.1" 200 5813
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:40:25 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=1&searchTag=&searchText= HTTP/1.1" 200 5883
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:40:27 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=&searchText= HTTP/1.1" 200 5813
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:40:36 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=title&searchText=%ED%99%98%EC%98%81 HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:40:45 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=contents&searchText=a HTTP/1.1" 200 5593
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:40:51 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=contents&searchText=c HTTP/1.1" 200 2743
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:40:54 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=contents&searchText=d HTTP/1.1" 200 5060
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:41:06 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=username&searchText=werere HTTP/1.1" 200 3210
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:41:23 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0 HTTP/1.1" 200 5813
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:41:26 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=1&searchTag=&searchText= HTTP/1.1" 200 5883
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:41:28 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=2&searchTag=&searchText= HTTP/1.1" 200 5845
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:41:30 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=1&searchTag=&searchText= HTTP/1.1" 200 5883
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:41:32 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=3&searchTag=&searchText= HTTP/1.1" 200 5781
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:41:36 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=5&searchTag=&searchText= HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:41:38 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=3&searchTag=&searchText= HTTP/1.1" 200 5781
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:41:47 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=contents&searchText=fes HTTP/1.1" 200 3190
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:41:52 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=title&searchText=fes HTTP/1.1" 200 4106
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:42:07 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=contents&searchText=ab HTTP/1.1" 200 2744
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:42:11 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=contents&searchText=%ED%95%9C%EA%B8%80 HTTP/1.1" 200 2748
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:42:15 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=title&searchText=%ED%95%9C%EA%B8%80 HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:42:23 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=username&searchText=joe HTTP/1.1" 200 5749
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:42:30 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=1&searchTag=username&searchText=joe HTTP/1.1" 200 5758
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:42:33 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=2&searchTag=username&searchText=joe HTTP/1.1" 200 4763
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:42:36 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=1&searchTag=username&searchText=joe HTTP/1.1" 200 5758
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:42:40 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0&searchTag=username&searchText=joe HTTP/1.1" 200 5749
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:42:44 +0900] "GET /JSP_Study/Control.jsp?action=read&id=59&index=0&searchTag=username&searchText=joe HTTP/1.1" 200 3119
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:42:49 +0900] "GET /JSP_Study/Control.jsp?action=read&id=58&index=0&searchTag=username&searchText=joe HTTP/1.1" 200 3135
0:0:0:0:0:0:0:1 - - [19/Oct/2020:23:42:57 +0900] "GET /JSP_Study/Control.jsp?action=read_board&index=0 HTTP/1.1" 200 5813
